tv,hl,wa,seed,epochs,model_type,theta_index
0.4751546096801757,0.4842592186047859,0.2471342783433007,1,0,Diffusion,0
0.5239999928474426,0.5308698111104188,0.289994618094916,1,0,Diffusion,1
0.5260000119209289,0.5367437525794332,0.2979948443024974,1,0,Diffusion,2
0.5459999642372131,0.5429977213049376,0.3055570162819943,1,0,Diffusion,3
0.5153535413742065,0.5233653609059461,0.2803237823159754,1,0,Diffusion,4
0.2440000035762786,0.3464435605043819,0.1189864902377063,1,40,Diffusion,0
0.2359999916553497,0.3819862024273794,0.1252755804722991,1,40,Diffusion,1
0.2979999845027923,0.4049313952501014,0.1403360236344203,1,40,Diffusion,2
0.2509999940395355,0.3183015151550094,0.1130985608798004,1,40,Diffusion,3
0.3220000262260437,0.3980719395069566,0.1398197371669974,1,40,Diffusion,4
0.2650000429153443,0.3871613959282902,0.1297059711521657,1,80,Diffusion,0
0.2710000143051148,0.3612631503715514,0.1240397218799604,1,80,Diffusion,1
0.2410000023841858,0.3822880062513604,0.1286805332901395,1,80,Diffusion,2
0.1980000011920928,0.3177474996128769,0.1028104581404281,1,80,Diffusion,3
0.3450000166893006,0.4237021955887376,0.1502457657339957,1,80,Diffusion,4
0.393,0.3933836776561953,0.1784684834106887,1,120,Diffusion,0
0.2440000035762786,0.2859613201614545,0.1122465964729945,1,120,Diffusion,1
0.2110000035762786,0.2474676522431467,0.0957809188791437,1,120,Diffusion,2
0.2270000238418579,0.3354352697708682,0.1168574629504413,1,120,Diffusion,3
0.1990000405311585,0.3144000778412282,0.1080194285097319,1,120,Diffusion,4
0.2629999845027924,0.2872495231122653,0.1171438768605841,1,160,Diffusion,0
0.2849999976158142,0.2584969960939214,0.1664597243284366,1,160,Diffusion,1
0.2209999845027923,0.2856008524631607,0.1073079624295599,1,160,Diffusion,2
0.2179999928474426,0.3114553559013741,0.1075941817974218,1,160,Diffusion,3
0.2169999928474426,0.2520479713197046,0.0994345281461154,1,160,Diffusion,4
0.2819999892711639,0.2525819982090366,0.1567313173587287,1,200,Diffusion,0
0.0969999904632568,0.1300767418396481,0.0469272585005024,1,200,Diffusion,1
0.1889999856948853,0.210356652703186,0.0808922448415764,1,200,Diffusion,2
0.1310000143051147,0.165338272389046,0.0563590974766895,1,200,Diffusion,3
0.118,0.1857084304905572,0.0613722967772066,1,200,Diffusion,4
0.1589999821186065,0.1648439460288489,0.0898364755514638,1,240,Diffusion,0
0.2589999713897705,0.2250307639964993,0.1679858468746771,1,240,Diffusion,1
0.1549999916553497,0.1894607337632562,0.0707399081458773,1,240,Diffusion,2
0.1429999809265136,0.2162892349313019,0.0735285054520316,1,240,Diffusion,3
0.2199999892711639,0.2020432843317511,0.1242895966233803,1,240,Diffusion,4
0.1170000047683715,0.1493458360713956,0.0505136125096031,1,280,Diffusion,0
0.2999999833106994,0.2387238747282511,0.1852944415816797,1,280,Diffusion,1
0.2550000166893005,0.2520051808429815,0.1230432115728924,1,280,Diffusion,2
0.1329999940395355,0.1310642743007978,0.0763957763241332,1,280,Diffusion,3
0.0930000071525574,0.139216119592955,0.0380444057270602,1,280,Diffusion,4
0.1029999999999999,0.147331709419926,0.045333292738688,1,320,Diffusion,0
0.1289999821186065,0.1410845295220372,0.0599027786648858,1,320,Diffusion,1
0.0869999821186065,0.1123247306819208,0.0434120803350573,1,320,Diffusion,2
0.1390000143051147,0.1564203588323918,0.0546827649282184,1,320,Diffusion,3
0.0709999892711639,0.1116759984090286,0.0298536027836267,1,320,Diffusion,4
0.269,0.2343058848614432,0.1735657496475722,1,360,Diffusion,0
0.278000022649765,0.2349962487130992,0.1345383092598166,1,360,Diffusion,1
0.2420000202655792,0.2103098356002113,0.115106686836135,1,360,Diffusion,2
0.1489999821186065,0.1604139786262394,0.0738155724395191,1,360,Diffusion,3
0.2350000381469726,0.2076429461752087,0.1049696989916422,1,360,Diffusion,4
0.2669999904632568,0.2229073208757765,0.1680253253740596,1,400,Diffusion,0
0.2890000119209289,0.2459625223010983,0.1408153508475107,1,400,Diffusion,1
0.1900000071525573,0.1749391652419468,0.0845254816107108,1,400,Diffusion,2
0.1859999964237213,0.172006003273333,0.1001500677326458,1,400,Diffusion,3
0.1489999916553497,0.1553651805524545,0.0943583379240659,1,400,Diffusion,4
0.117000021457672,0.174618586792232,0.0563650114763842,1,440,Diffusion,0
0.1809999856948852,0.1683972764371307,0.0983150798032291,1,440,Diffusion,1
0.2149999964237213,0.2127657344194437,0.1091364596932683,1,440,Diffusion,2
0.1729999940395355,0.1790244066725411,0.0859502446937484,1,440,Diffusion,3
0.2060000047683715,0.198542169469163,0.085128019585646,1,440,Diffusion,4
0.1839999761581421,0.1915156531003242,0.0835168777299401,1,480,Diffusion,0
0.1339999809265136,0.1728346032194178,0.0643869478889251,1,480,Diffusion,1
0.2329999940395355,0.2361842207485058,0.1127826861143058,1,480,Diffusion,2
0.2440000262260436,0.2379610621274639,0.1102179298316913,1,480,Diffusion,3
0.1040000190734863,0.1650581293984382,0.05323205610209,1,480,Diffusion,4
0.0849999892711639,0.1250086012805892,0.0343044093142393,1,520,Diffusion,0
0.236000021457672,0.1919755419865007,0.1058204086612595,1,520,Diffusion,1
0.1260000119209289,0.1549252847564818,0.0510995953840524,1,520,Diffusion,2
0.1220000405311584,0.1527395746649744,0.0501760400558046,1,520,Diffusion,3
0.2120000381469726,0.1935222221472081,0.0955802694650209,1,520,Diffusion,4
0.0769999928474426,0.1029507509599544,0.0271465437452537,1,560,Diffusion,0
0.1489999833106994,0.1149350904403684,0.1064746058002072,1,560,Diffusion,1
0.2629999833106994,0.2068279872472311,0.1726030992846698,1,560,Diffusion,2
0.4129999570846557,0.3188629732694818,0.2514156945703243,1,560,Diffusion,3
0.1940000381469726,0.180122140838301,0.0872146356859706,1,560,Diffusion,4
0.2560000214576721,0.2216277406583887,0.1247482710273278,1,600,Diffusion,0
0.2439999928474426,0.1963765233356522,0.1650208247169839,1,600,Diffusion,1
0.0769999988079071,0.1239918570790988,0.0348213310141724,1,600,Diffusion,2
0.156999988079071,0.157028179069422,0.0880726070736244,1,600,Diffusion,3
0.036000033378601,0.0724260596452194,0.0327692331243734,1,600,Diffusion,4
0.2220000095367431,0.2048574685805735,0.1007611119576704,1,640,Diffusion,0
0.1240000023841857,0.1342510653964307,0.0667988323491999,1,640,Diffusion,1
0.1680000023841858,0.1746935427161435,0.0770605430876371,1,640,Diffusion,2
0.0950000023841858,0.1362132385974964,0.0471097963072015,1,640,Diffusion,3
0.1929999833106994,0.1853756488046029,0.120829682529303,1,640,Diffusion,4
0.1209999904632568,0.1683155561399799,0.0565089752180567,1,680,Diffusion,0
0.2169999976158142,0.2119460335455419,0.0976972623166787,1,680,Diffusion,1
0.1120000190734863,0.1629377674049899,0.0506148811430067,1,680,Diffusion,2
0.2769999761581421,0.2718439317905117,0.1445369843962808,1,680,Diffusion,3
0.1360000214576721,0.1829426571071838,0.0584008325276121,1,680,Diffusion,4
0.1089999916553497,0.1312983145483556,0.0507423276441573,1,720,Diffusion,0
0.1190000023841857,0.1326667795687535,0.0668449125907204,1,720,Diffusion,1
