epoch,inference_time,ecp_score,epochs,seed,model_type
,24.604356050491333,0.4499999999999994,0.0,1.0,NormalizingFlow
,24.362723350524902,0.1408625,40.0,1.0,NormalizingFlow
,24.33397483825684,0.1161599999999999,80.0,1.0,NormalizingFlow
,24.335447549819943,0.1428699999999999,120.0,1.0,NormalizingFlow
,24.336372137069706,0.10282,160.0,1.0,NormalizingFlow
,24.343796253204346,0.0627249999999999,200.0,1.0,NormalizingFlow
,24.28945803642273,0.1082999999999999,240.0,1.0,NormalizingFlow
,24.350350618362427,0.0653399999999998,280.0,1.0,NormalizingFlow
,24.32260370254517,0.06486,320.0,1.0,NormalizingFlow
,24.334587574005127,0.0695799999999998,360.0,1.0,NormalizingFlow
,24.293744802474976,0.0648375,400.0,1.0,NormalizingFlow
,24.27409553527832,0.0611099999999998,440.0,1.0,NormalizingFlow
,24.322773933410645,0.0581999999999999,480.0,1.0,NormalizingFlow
,24.30888724327088,0.0599624999999999,520.0,1.0,NormalizingFlow
,24.318108081817627,0.0529199999999999,560.0,1.0,NormalizingFlow
,24.35446834564209,0.06111,600.0,1.0,NormalizingFlow
,24.32538914680481,0.0545225,640.0,1.0,NormalizingFlow
,24.32484769821167,0.0666399999999999,680.0,1.0,NormalizingFlow
,24.353081703186035,0.0611099999999999,720.0,1.0,NormalizingFlow
,24.33077454566956,0.0568225,760.0,1.0,NormalizingFlow
,24.199050903320312,0.0516275,800.0,1.0,NormalizingFlow
,24.250706672668457,0.0640474999999999,840.0,1.0,NormalizingFlow
,24.34377598762512,0.0556799999999999,880.0,1.0,NormalizingFlow
,24.282597303390503,0.0578199999999999,920.0,1.0,NormalizingFlow
,24.297429084777832,0.0585599999999998,960.0,1.0,NormalizingFlow
,24.27432417869568,0.06111,1000.0,1.0,NormalizingFlow
,24.33278155326844,0.06111,1040.0,1.0,NormalizingFlow
,24.35463500022888,0.0637875,1080.0,1.0,NormalizingFlow
,24.345887184143063,0.0604799999999998,1120.0,1.0,NormalizingFlow
,24.346371173858643,0.0564524999999999,1160.0,1.0,NormalizingFlow
,24.37270712852478,0.0637875,1200.0,1.0,NormalizingFlow
,24.34058928489685,0.0628999999999999,1240.0,1.0,NormalizingFlow
,24.33112907409668,0.06175,1280.0,1.0,NormalizingFlow
,24.344517469406128,0.0571724999999999,1320.0,1.0,NormalizingFlow
,24.36485195159912,0.0595199999999999,1360.0,1.0,NormalizingFlow
,24.339022159576416,0.0607599999999999,1400.0,1.0,NormalizingFlow
,24.34078598022461,0.0630499999999999,1440.0,1.0,NormalizingFlow
,24.339516401290894,0.0606424999999999,1480.0,1.0,NormalizingFlow
,24.34768271446228,0.0599624999999999,1520.0,1.0,NormalizingFlow
,24.34375762939453,0.0607599999999998,1560.0,1.0,NormalizingFlow
,24.332560539245605,0.0681599999999999,1600.0,1.0,NormalizingFlow
,24.292886972427368,0.0591699999999999,1640.0,1.0,NormalizingFlow
,24.345203399658203,0.0633599999999999,1680.0,1.0,NormalizingFlow
,24.33583760261536,0.0609524999999999,1720.0,1.0,NormalizingFlow
,24.33348202705384,0.0630499999999998,1760.0,1.0,NormalizingFlow
,24.34666919708252,0.0682825,1800.0,1.0,NormalizingFlow
,24.316569328308105,0.0670674999999999,1840.0,1.0,NormalizingFlow
,24.331488847732544,0.0623999999999999,1880.0,1.0,NormalizingFlow
,24.387868881225582,0.0587325,1920.0,1.0,NormalizingFlow
,24.370569229125977,0.0681599999999999,1960.0,1.0,NormalizingFlow
,24.43769478797913,0.0044675,0.0,2.0,NormalizingFlow
,24.4104163646698,0.1870500000000001,40.0,2.0,NormalizingFlow
,24.423298835754395,0.1497374999999999,80.0,2.0,NormalizingFlow
,24.40732169151306,0.2017574999999999,120.0,2.0,NormalizingFlow
,24.413177967071533,0.0861875,160.0,2.0,NormalizingFlow
,24.402576446533203,0.1792200000000001,200.0,2.0,NormalizingFlow
,24.446261405944824,0.0864799999999999,240.0,2.0,NormalizingFlow
,24.432050228118896,0.0687374999999999,280.0,2.0,NormalizingFlow
,24.41781735420227,0.0577775,320.0,2.0,NormalizingFlow
,24.37523651123047,0.0950624999999999,360.0,2.0,NormalizingFlow
,24.40458393096924,0.0704275,400.0,2.0,NormalizingFlow
,24.39568972587585,0.0633599999999999,440.0,2.0,NormalizingFlow
,24.40791606903076,0.0714125,480.0,2.0,NormalizingFlow
,24.404119729995728,0.0612774999999999,520.0,2.0,NormalizingFlow
,24.42760729789734,0.0644625,560.0,2.0,NormalizingFlow
,24.435238361358643,0.06208,600.0,2.0,NormalizingFlow
,24.436272621154785,0.059895,640.0,2.0,NormalizingFlow
,24.38755488395691,0.0499799999999999,680.0,2.0,NormalizingFlow
,24.41553950309753,0.0558599999999999,720.0,2.0,NormalizingFlow
,24.439456939697266,0.0611,760.0,2.0,NormalizingFlow
,24.4055244922638,0.0450799999999999,800.0,2.0,NormalizingFlow
,24.40320658683777,0.0577774999999999,840.0,2.0,NormalizingFlow
,24.234196424484253,0.0533499999999999,880.0,2.0,NormalizingFlow
,24.401391983032227,0.0659175,920.0,2.0,NormalizingFlow
,24.424503326416016,0.0600075,960.0,2.0,NormalizingFlow
,24.402764558792114,0.0643199999999999,1000.0,2.0,NormalizingFlow
,24.41840529441833,0.05952,1040.0,2.0,NormalizingFlow
,24.39812183380127,0.06014,1080.0,2.0,NormalizingFlow
,24.40509581565857,0.0618975,1120.0,2.0,NormalizingFlow
,24.42227530479431,0.0635075,1160.0,2.0,NormalizingFlow
,24.41562795639038,0.0662699999999999,1200.0,2.0,NormalizingFlow
